algo,transform,sample_size,eer_threshold
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6484375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.7109375
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6640625
pdq,Rescale,10000,0.6484375
pdq,Rescale,10000,0.6484375
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.6484375
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.65625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
